Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
00NA 58.4 36.1 -0.8 8.60 8.62 10.49 58.5 36.2 -0.7 -12.467 -229.156 104.8 -0.1 -0.1 -0.1
02NA 59.3 36.2 -1.3 8.27 8.27 8.27 59.6 36.3 -0.6 -12.356 -229.118 117.7 -0.3 -0.1 -0.7
0ABI 14.9 15.2 5.4 16.21 16.22 16.22 14.9 15.2 5.3 68.354 -341.184 431.4 0.0 -0.0 0.1
0ABY 13.8 18.6 5.2 10.38 10.38 10.39 13.8 18.6 5.0 58.659 -343.820 60.5 0.0 0.0 0.2
0AKE 13.9 18.8 5.2 10.24 15.01 15.01 14.0 18.8 5.4 59.481 -341.698 43.1 -0.1 0.0 -0.2
0ALE 14.8 17.0 9.3 9.71 9.71 9.71 14.7 16.9 9.2 62.780 -343.986 272.4 0.1 0.1 0.1
0ALF 14.7 17.0 8.2 18.21 14.51 19.77 14.7 16.9 8.1 61.345 -343.935 142.7 -0.0 0.1 0.1
0ALI 14.5 17.4 3.6 14.55 14.55 14.55 14.5 17.4 3.7 57.930 -347.472 116.7 -0.0 0.0 -0.1
0ALM 13.9 18.4 6.4 18.03 23.36 23.35 13.8 18.3 6.5 59.866 -341.929 56.7 0.1 0.1 -0.1
0ALS 14.3 18.8 2.7 6.86 6.86 6.86 14.3 18.7 2.7 56.947 -344.093 158.2 0.0 0.1 0.0
0ALV 15.0 16.2 7.3 15.65 18.40 18.40 14.9 16.4 8.3 61.231 -345.963 280.0 0.1 -0.2 -1.0
0AMB 14.9 16.8 7.3 10.31 10.31 10.31 15.0 16.7 7.1 60.510 -346.849 192.1 -0.1 0.1 0.2
0AME 14.4 18.1 5.2 16.12 16.12 16.12 14.3 18.0 5.4 58.870 -345.000 143.4 0.1 0.1 -0.2
0AMM 15.1 15.2 7.5 17.58 17.58 17.58 15.0 15.2 7.3 65.958 -343.794 462.3 0.1 -0.0 0.2
0AMS 14.2 17.0 10.2 9.32 9.32 9.32 14.2 16.9 10.4 64.533 -340.650 248.9 0.0 0.1 -0.2
0ANA 15.4 16.0 8.1 15.87 17.98 17.98 15.3 15.9 8.2 62.643 -345.628 399.7 0.1 0.1 -0.1
0ANG 14.8 16.4 9.0 16.68 17.99 17.99 14.7 16.5 8.9 62.525 -344.340 217.9 0.1 -0.1 0.1
0ANS 14.1 18.0 10.4 10.36 10.36 10.36 14.1 17.9 10.6 64.276 -338.957 50.4 0.0 0.1 -0.2
0ARA 14.9 16.8 6.3 8.55 8.48 8.55 14.9 16.7 6.0 59.659 -347.400 131.0 0.0 0.1 0.3
