Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Segment_begin_N Segment_end_N Segment_begin_E Segment_end_E Segment_begin_U Segment_end_U Whole_begin Whole_end Whole_Du
00NA 58.4 36.1 -0.8 8.6 8.62 10.49 2008.2382 2016.835 2008.2355 2016.86 2008.2382 2018.732 2008.2355 2018.732 10.5
02NA 59.3 36.2 -1.3 8.27 8.27 8.27 2008.7255 2016.999 2008.7255 2016.999 2008.7255 2016.997 2008.7255 2016.999 8.27
0ABI 14.9 15.2 5.4 16.21 16.22 16.22 2009.4428 2025.656 2009.4428 2025.662 2009.4428 2025.662 2009.4428 2025.662 16.22
0ABY 13.8 18.6 5.2 10.38 10.38 10.39 2015.2827 2025.662 2015.2827 2025.662 2015.2717 2025.662 2015.2717 2025.662 10.39
0AKE 13.9 18.8 5.2 10.24 15.01 15.01 2010.6475 2020.89 2010.6475 2025.662 2010.6475 2025.662 2010.6475 2025.662 15.01
0ALE 14.8 17.0 9.3 9.71 9.71 9.71 2015.9507 2025.662 2015.9507 2025.662 2015.9507 2025.662 2015.9507 2025.662 9.71
0ALF 14.7 17.0 8.2 18.21 14.51 19.77 2007.4552 2025.662 2011.1567 2025.662 2005.8891 2025.662 2005.8891 2025.662 19.77
0ALI 14.5 17.4 3.6 14.55 14.55 14.55 2011.1102 2025.662 2011.1102 2025.662 2011.1102 2025.662 2011.1102 2025.662 14.55
0ALM 13.9 18.4 6.4 18.03 23.36 23.35 2007.6331 2025.662 2002.2998 2025.662 2002.308 2025.662 2002.2998 2025.662 23.36
0ALS 14.3 18.8 2.7 6.86 6.86 6.86 2018.8008 2025.662 2018.7981 2025.662 2018.7981 2025.662 2018.7981 2025.662 6.86
0ALV 15.0 16.2 7.3 15.65 18.4 18.4 2008.6516 2024.298 2005.8946 2024.298 2005.8946 2024.298 2005.8946 2024.298 18.4
0AMB 14.9 16.8 7.3 10.31 10.31 10.31 2015.3511 2025.662 2015.3511 2025.662 2015.3511 2025.662 2015.3511 2025.662 10.31
0AME 14.4 18.1 5.2 16.12 16.12 16.12 2009.5387 2025.662 2009.5387 2025.662 2009.5387 2025.662 2009.5387 2025.662 16.12
0AMM 15.1 15.2 7.5 17.58 17.58 17.58 2008.0821 2025.662 2008.0821 2025.662 2008.0821 2025.662 2008.0821 2025.662 17.58
0AMS 14.2 17.0 10.2 9.32 9.32 9.32 2016.3422 2025.662 2016.3422 2025.662 2016.3422 2025.662 2016.3422 2025.662 9.32
0ANA 15.4 16.0 8.1 15.87 17.98 17.98 2009.7878 2025.662 2007.6797 2025.662 2007.6797 2025.662 2007.6797 2025.662 17.98
0ANG 14.8 16.4 9.0 16.68 17.99 17.99 2008.9856 2025.662 2007.6742 2025.662 2007.6742 2025.662 2007.6742 2025.662 17.99
0ANS 14.1 18.0 10.4 10.36 10.36 10.36 2015.3046 2025.662 2015.3046 2025.662 2015.3046 2025.662 2015.3046 2025.662 10.36
0ARA 14.9 16.8 6.3 8.55 8.48 8.55 2017.1116 2025.662 2017.1855 2025.662 2017.1116 2025.662 2017.1088 2025.662 8.55
0ARB 14.2 17.6 6.6 14.21 14.21 14.21 2011.4552 2025.662 2011.4552 2025.662 2011.4552 2025.662 2011.4552 2025.662 14.21
0ARD 14.7 17.5 4.4 13.37 13.37 13.37 2012.2902 2025.662 2012.2902 2025.662 2012.2902 2025.662 2012.2902 2025.662 13.37
0ARH 13.6 19.1 6.0 4.35 4.35 4.35 2002.6886 2007.042 2002.6886 2007.042 2002.6886 2007.042 2002.6886 2007.042 4.35
0ARJ 15.0 15.7 7.9 26.66 18.96 26.66 1999.0007 2025.662 1999.0007 2017.96 1999.0007 2025.662 1999.0007 2025.662 26.66
0ART 14.9 15.6 8.3 18.25 18.25 18.25 2007.4086 2025.662 2007.4086 2025.662 2007.4086 2025.662 2007.4086 2025.662 18.25
0ARV 14.6 16.3 9.3 18.25 18.25 18.25 2007.4086 2025.662 2007.4086 2025.662 2007.4086 2025.662 2007.4086 2025.662 18.25
0ASA 14.7 17.0 4.3 5.59 5.59 5.59 2015.0007 2020.586 2015.0007 2020.586 2015.0007 2020.586 2002.6886 2020.586 17.9
0ASD 14.4 19.0 2.4 12.35 7.22 12.35 2013.3142 2025.662 2018.4449 2025.662 2013.3142 2025.662 2013.3142 2025.662 12.35
0ASE 14.7 16.3 9.8 18.01 15.96 18.01 2007.655 2025.662 2009.6975 2025.662 2007.655 2025.662 2007.655 2025.662 18.01
0AST 15.0 18.2 0.7 7.49 7.49 7.49 2018.1739 2025.662 2018.1739 2025.662 2018.1739 2025.662 2018.1739 2025.662 7.49
0ATR 14.8 17.6 1.9 14.2 22.97 22.97 2011.4661 2025.662 2002.6886 2025.662 2002.6886 2025.662 2002.6886 2025.662 22.97
0ATT 14.5 17.9 2.7 6.35 6.35 6.35 2019.3128 2025.662 2019.3128 2025.662 2019.3128 2025.662 2019.3128 2025.662 6.35
0ATV 14.1 18.2 4.3 10.35 10.35 10.35 2015.3101 2025.662 2015.3101 2025.662 2015.3101 2025.662 2015.3101 2025.662 10.35
0AZ1 14.6 17.6 3.4 6.71 6.71 6.71 2018.9487 2025.662 2018.9487 2025.662 2018.9487 2025.662 2018.9487 2025.662 6.71
0BAS 14.2 17.0 9.9 19.19 19.19 19.19 2006.4723 2025.662 2006.4723 2025.662 2006.4723 2025.662 2006.4723 2025.662 19.19
0BEB 14.3 18.3 9.6 6.02 6.02 6.02 2019.6386 2025.662 2019.6441 2025.662 2019.6386 2025.662 2019.6386 2025.662 6.02
0BEF 14.6 16.9 5.3 11.45 11.45 11.45 2014.2094 2025.662 2014.2094 2025.662 2014.2094 2025.662 2014.2094 2025.662 11.45
0BER 14.4 17.4 10.0 6.9 7.74 6.89 2016.794 2023.696 2015.9535 2023.693 2015.9535 2022.847 2015.9535 2023.696 7.74
0BIE 14.3 18.0 5.5 14.29 23.36 14.26 2011.3676 2025.662 2002.2998 2025.662 2011.4031 2025.662 2002.2998 2025.662 23.36
0BIP 14.5 16.7 9.8 10.59 10.59 10.59 2015.0746 2025.662 2015.0746 2025.662 2015.0746 2025.662 2015.0746 2025.662 10.59
0BIS 14.9 17.5 2.8 14.71 14.71 14.71 2010.9541 2025.662 2010.9541 2025.662 2010.9541 2025.662 2010.9541 2025.662 14.71
0BJA 14.9 18.0 2.0 9.65 6.13 9.65 2012.011 2021.665 2012.9309 2019.058 2012.011 2021.665 2012.011 2021.665 9.65
0BJO 14.6 17.3 6.0 14.31 23.36 23.35 2011.3566 2025.662 2002.2998 2025.662 2002.308 2025.662 2002.2998 2025.662 23.36
0BJU 13.9 17.5 10.2 19.15 19.12 19.15 2006.5133 2025.662 2006.5435 2025.662 2006.5106 2025.662 2006.5106 2025.662 19.15
0BKI 14.4 18.1 4.6 11.76 11.76 11.76 2013.9028 2025.662 2013.9028 2025.662 2013.9028 2025.662 2013.9028 2025.662 11.76
0BLA 14.0 18.6 3.4 18.55 20.23 20.92 2007.1157 2025.662 2005.4292 2025.662 2004.7447 2025.662 2004.7447 2025.662 20.92
0BLI 13.8 18.7 6.2 12.5 12.5 12.5 2013.1636 2025.662 2013.1636 2025.662 2013.1636 2025.662 2013.1636 2025.662 12.5
0BMO 15.0 15.9 8.7 5.12 5.12 5.12 2013.9384 2019.061 2013.9384 2019.061 2013.9384 2019.061 2013.9384 2019.061 5.12
0BOD 14.3 18.5 2.0 9.65 16.37 16.37 2011.3484 2020.997 2004.7447 2021.114 2004.7447 2021.114 2004.7447 2021.114 16.37
0BOR 14.7 17.6 -0.3 10.01 10.01 8.32 2015.0007 2025.016 2015.0007 2025.016 2016.6982 2025.016 2002.0014 2025.016 23.01
0BRA 13.3 17.5 10.0 5.11 6.16 6.16 2020.5503 2025.662 2019.499 2025.662 2019.499 2025.662 2019.499 2025.662 6.16
0BRO 13.8 18.9 6.3 7.73 7.73 7.73 2017.9329 2025.662 2017.9329 2025.662 2017.9329 2025.662 2017.9329 2025.662 7.73
0BRU 14.8 17.7 3.9 6.39 7.69 7.69 2019.2717 2025.662 2017.9713 2025.662 2017.9713 2025.662 2017.9713 2025.662 7.69
0BST 14.8 18.0 1.3 13.89 13.89 13.89 2011.7755 2025.662 2011.7755 2025.662 2011.7755 2025.662 2011.7755 2025.662 13.89
0BTT 14.0 18.2 3.1 6.17 6.17 6.17 2019.3101 2025.476 2019.3101 2025.476 2019.3101 2025.476 2019.3101 2025.476 6.17
0BUE 13.4 18.5 10.5 5.97 5.97 5.97 2019.6934 2025.662 2019.6934 2025.662 2019.6934 2025.662 2019.6934 2025.662 5.97
0BUG 15.0 17.9 3.2 7.5 7.5 7.5 2018.1602 2025.662 2018.1602 2025.662 2018.1629 2025.662 2018.1602 2025.662 7.5
0BUR 14.3 17.4 9.2 19.19 14.54 19.19 2006.4723 2025.662 2011.1266 2025.662 2006.4723 2025.662 2006.4723 2025.662 19.19
0BYG 14.2 18.0 10.2 6.2 6.2 6.2 2019.4634 2025.662 2019.4634 2025.662 2019.4634 2025.662 2019.4634 2025.662 6.2
0CHA 14.2 16.3 6.5 14.88 15.88 15.88 2006.9213 2021.799 2005.9165 2021.799 2005.9165 2021.799 2005.9165 2021.799 15.88
0DAJ 14.5 16.8 7.7 10.28 10.28 10.28 2015.3785 2025.662 2015.3785 2025.662 2015.3785 2025.662 2015.3785 2025.662 10.28
0DAL 15.0 18.6 1.2 14.58 14.57 14.58 2011.0856 2025.662 2011.0883 2025.662 2011.0856 2025.662 2011.0856 2025.662 14.58
0DAN 14.5 18.6 2.2 13.82 20.92 13.86 2011.8439 2025.662 2004.7447 2025.662 2011.8001 2025.662 2004.7447 2025.662 20.92
0DAV 13.9 17.9 10.4 6.03 6.03 6.03 2019.6359 2025.662 2019.6359 2025.662 2019.6359 2025.662 2019.6359 2025.662 6.03
0DEG 14.8 18.6 1.3 14.61 14.61 14.61 2011.0527 2025.662 2011.0527 2025.662 2011.0527 2025.662 2011.0527 2025.662 14.61
0DIL 15.2 15.8 3.5 12.52 12.52 12.51 2013.1444 2025.662 2013.1444 2025.662 2013.1472 2025.662 2013.1444 2025.662 12.52
0DOC 14.3 17.2 10.1 10.39 10.39 10.39 2015.269 2025.662 2015.269 2025.662 2015.269 2025.662 2015.269 2025.662 10.39
0DOR 14.8 15.8 9.1 18.02 18.02 18.02 2007.6441 2025.662 2007.6441 2025.662 2007.6441 2025.662 2007.6441 2025.662 18.02
0EDA 15.4 16.2 5.3 11.24 11.24 11.24 2005.8617 2017.101 2005.8617 2017.101 2005.8617 2017.098 2005.8617 2017.101 11.24
0EDB 14.2 18.6 4.2 10.3 10.3 10.3 2015.3621 2025.662 2015.3621 2025.662 2015.3621 2025.662 2015.3621 2025.662 10.3
0EDS 14.9 16.4 9.7 10.39 10.39 10.39 2015.269 2025.662 2015.269 2025.662 2015.269 2025.662 2015.269 2025.662 10.39
0ED_ 15.3 16.6 5.0 11.81 11.81 11.81 2013.8535 2025.662 2013.8535 2025.662 2013.8535 2025.662 2013.8535 2025.662 11.81
0EKB 15.0 18.4 1.6 7.61 7.61 7.61 2018.0479 2025.662 2018.0507 2025.662 2018.0479 2025.662 2018.0479 2025.662 7.61
0EKE 14.6 18.6 1.3 14.35 20.92 20.92 2011.3101 2025.662 2004.7447 2025.662 2004.7447 2025.662 2004.7447 2025.662 20.92
0ENS 13.9 18.5 5.3 10.2 10.2 10.2 2015.4634 2025.662 2015.4634 2025.662 2015.4634 2025.662 2015.4634 2025.662 10.2
